,OA,Wellbeing_Acorn_group,Wellbeing_Acorn_type,Wellbeing Acorn Group_frequency_count,Wellbeing Acorn Type_frequency_count
299,E00023730,4. Healthy,22. Gym & juices,{'4. Healthy': 2},{'22. Gym & juices': 2}
300,E00023731,4. Healthy,22. Gym & juices,"{'4. Healthy': 9, '5. Not Private Households': 1}","{'22. Gym & juices': 8, '24. Five-a-day greys': 1, '28. Business addresses etc.': 1}"
301,E00023732,3. Caution,18. Cultural concerns,"{'3. Caution': 3, '4. Healthy': 1}","{'18. Cultural concerns': 3, '24. Five-a-day greys': 1}"
302,E00023733,5. Not Private Households,26. Active communal population,"{'5. Not Private Households': 2, '3. Caution': 2}","{'26. Active communal population': 2, '18. Cultural concerns': 2}"
303,E00023734,4. Healthy,18. Cultural concerns,"{'4. Healthy': 5, '5. Not Private Households': 4, '3. Caution': 3}","{'18. Cultural concerns': 3, '22. Gym & juices': 3, '28. Business addresses etc.': 3, '24. Five-a-day greys': 2, '26. Active communal population': 1}"
304,E00023737,4. Healthy,22. Gym & juices,"{'4. Healthy': 6, '5. Not Private Households': 2}","{'22. Gym & juices': 6, '28. Business addresses etc.': 2}"
305,E00023738,4. Healthy,22. Gym & juices,"{'4. Healthy': 3, '3. Caution': 3}","{'22. Gym & juices': 3, '18. Cultural concerns': 3}"
306,E00023739,3. Caution,18. Cultural concerns,"{'3. Caution': 6, '4. Healthy': 2, '5. Not Private Households': 1}","{'18. Cultural concerns': 6, '28. Business addresses etc.': 1, '24. Five-a-day greys': 1, '22. Gym & juices': 1}"
307,E00023740,4. Healthy,22. Gym & juices,"{'4. Healthy': 10, '2. At Risk': 1, '3. Caution': 1}","{'22. Gym & juices': 7, '24. Five-a-day greys': 3, '13. Regular revellers': 1, '18. Cultural concerns': 1}"
308,E00023741,3. Caution,18. Cultural concerns,"{'3. Caution': 1, '5. Not Private Households': 1}","{'18. Cultural concerns': 1, '27. Inactive communal population': 1}"
309,E00023744,3. Caution,18. Cultural concerns,"{'3. Caution': 3, '4. Healthy': 2, '5. Not Private Households': 1}","{'18. Cultural concerns': 3, '22. Gym & juices': 2, '28. Business addresses etc.': 1}"
310,E00023745,4. Healthy,22. Gym & juices,"{'4. Healthy': 8, '5. Not Private Households': 1, '3. Caution': 1}","{'22. Gym & juices': 8, '28. Business addresses etc.': 1, '18. Cultural concerns': 1}"
311,E00023746,3. Caution,18. Cultural concerns,"{'3. Caution': 6, '4. Healthy': 5}","{'18. Cultural concerns': 6, '22. Gym & juices': 3, '24. Five-a-day greys': 2}"
312,E00023747,3. Caution,18. Cultural concerns,{'3. Caution': 6},{'18. Cultural concerns': 6}
313,E00023748,3. Caution,18. Cultural concerns,"{'3. Caution': 2, '4. Healthy': 1}","{'18. Cultural concerns': 2, '22. Gym & juices': 1}"
314,E00023749,4. Healthy,22. Gym & juices,"{'4. Healthy': 3, '3. Caution': 1}","{'22. Gym & juices': 3, '18. Cultural concerns': 1}"
315,E00023750,3. Caution,18. Cultural concerns,{'3. Caution': 2},{'18. Cultural concerns': 2}
316,E00023751,4. Healthy,22. Gym & juices,"{'4. Healthy': 1, '3. Caution': 1}","{'22. Gym & juices': 1, '18. Cultural concerns': 1}"
317,E00023752,4. Healthy,24. Five-a-day greys,{'4. Healthy': 2},"{'24. Five-a-day greys': 1, '22. Gym & juices': 1}"
318,E00023753,4. Healthy,22. Gym & juices,"{'4. Healthy': 2, '5. Not Private Households': 1, '3. Caution': 1}","{'22. Gym & juices': 2, '27. Inactive communal population': 1, '18. Cultural concerns': 1}"
319,E00023754,2. At Risk,8. Despondent diversity,"{'2. At Risk': 2, '3. Caution': 1}","{'8. Despondent diversity': 2, '15. Borderline behaviours': 1}"
320,E00023755,4. Healthy,22. Gym & juices,"{'4. Healthy': 4, '3. Caution': 1}","{'22. Gym & juices': 4, '18. Cultural concerns': 1}"
321,E00023756,2. At Risk,8. Despondent diversity,{'2. At Risk': 6},{'8. Despondent diversity': 6}
322,E00023757,4. Healthy,22. Gym & juices,"{'4. Healthy': 4, '1. Health Challenges': 1}","{'22. Gym & juices': 4, '1. Limited living': 1}"
323,E00023758,4. Healthy,22. Gym & juices,"{'4. Healthy': 4, '3. Caution': 1}","{'22. Gym & juices': 4, '18. Cultural concerns': 1}"
324,E00023759,3. Caution,18. Cultural concerns,"{'3. Caution': 6, '4. Healthy': 1}","{'18. Cultural concerns': 6, '22. Gym & juices': 1}"
325,E00023760,2. At Risk,8. Despondent diversity,"{'2. At Risk': 3, '5. Not Private Households': 1}","{'8. Despondent diversity': 3, '28. Business addresses etc.': 1}"
326,E00023761,3. Caution,18. Cultural concerns,"{'3. Caution': 3, '4. Healthy': 1}","{'18. Cultural concerns': 3, '21. Sensible seniors': 1}"
327,E00023762,2. At Risk,8. Despondent diversity,"{'2. At Risk': 6, '5. Not Private Households': 3}","{'8. Despondent diversity': 6, '28. Business addresses etc.': 3}"
328,E00023763,4. Healthy,21. Sensible seniors,"{'4. Healthy': 4, '5. Not Private Households': 1}","{'21. Sensible seniors': 3, '28. Business addresses etc.': 1, '22. Gym & juices': 1}"
329,E00023764,4. Healthy,22. Gym & juices,"{'4. Healthy': 7, '3. Caution': 2}","{'22. Gym & juices': 4, '21. Sensible seniors': 3, '18. Cultural concerns': 2}"
330,E00023765,4. Healthy,22. Gym & juices,"{'4. Healthy': 10, '5. Not Private Households': 2, '3. Caution': 1}","{'22. Gym & juices': 10, '28. Business addresses etc.': 2, '18. Cultural concerns': 1}"
331,E00023766,3. Caution,18. Cultural concerns,{'3. Caution': 2},{'18. Cultural concerns': 2}
332,E00023767,3. Caution,18. Cultural concerns,"{'3. Caution': 2, '4. Healthy': 2, '5. Not Private Households': 1}","{'18. Cultural concerns': 2, '24. Five-a-day greys': 2, '28. Business addresses etc.': 1}"
333,E00023768,3. Caution,18. Cultural concerns,{'3. Caution': 1},{'18. Cultural concerns': 1}
334,E00023769,3. Caution,18. Cultural concerns,{'3. Caution': 3},{'18. Cultural concerns': 3}
335,E00023770,3. Caution,18. Cultural concerns,{'3. Caution': 1},{'18. Cultural concerns': 1}
336,E00023771,3. Caution,18. Cultural concerns,{'3. Caution': 1},{'18. Cultural concerns': 1}
337,E00023772,3. Caution,18. Cultural concerns,{'3. Caution': 1},{'18. Cultural concerns': 1}
338,E00023773,3. Caution,18. Cultural concerns,"{'3. Caution': 4, '4. Healthy': 2, '5. Not Private Households': 2}","{'18. Cultural concerns': 4, '24. Five-a-day greys': 2, '28. Business addresses etc.': 2}"
339,E00023774,4. Healthy,21. Sensible seniors,"{'4. Healthy': 2, '2. At Risk': 2}","{'21. Sensible seniors': 1, '8. Despondent diversity': 1, '22. Gym & juices': 1, '13. Regular revellers': 1}"
340,E00023775,3. Caution,18. Cultural concerns,"{'3. Caution': 1, '5. Not Private Households': 1, '4. Healthy': 1}","{'18. Cultural concerns': 1, '28. Business addresses etc.': 1, '22. Gym & juices': 1}"
341,E00023776,4. Healthy,21. Sensible seniors,{'4. Healthy': 2},"{'21. Sensible seniors': 1, '22. Gym & juices': 1}"
342,E00023777,4. Healthy,24. Five-a-day greys,{'4. Healthy': 4},{'24. Five-a-day greys': 4}
343,E00023778,3. Caution,18. Cultural concerns,{'3. Caution': 2},{'18. Cultural concerns': 2}
344,E00023779,3. Caution,18. Cultural concerns,{'3. Caution': 6},{'18. Cultural concerns': 6}
345,E00023780,4. Healthy,22. Gym & juices,"{'4. Healthy': 3, '5. Not Private Households': 1}","{'22. Gym & juices': 2, '28. Business addresses etc.': 1, '24. Five-a-day greys': 1}"
346,E00023781,3. Caution,18. Cultural concerns,"{'3. Caution': 2, '4. Healthy': 1}","{'18. Cultural concerns': 2, '24. Five-a-day greys': 1}"
347,E00023782,3. Caution,18. Cultural concerns,{'3. Caution': 3},{'18. Cultural concerns': 3}
348,E00023783,4. Healthy,24. Five-a-day greys,"{'4. Healthy': 3, '3. Caution': 1}","{'24. Five-a-day greys': 2, '22. Gym & juices': 1, '18. Cultural concerns': 1}"
349,E00023784,3. Caution,18. Cultural concerns,"{'3. Caution': 1, '1. Health Challenges': 1, '4. Healthy': 1}","{'18. Cultural concerns': 1, '1. Limited living': 1, '24. Five-a-day greys': 1}"
350,E00023785,4. Healthy,24. Five-a-day greys,"{'4. Healthy': 2, '5. Not Private Households': 2}","{'24. Five-a-day greys': 2, '28. Business addresses etc.': 2}"
351,E00023786,5. Not Private Households,28. Business addresses etc.,"{'5. Not Private Households': 2, '3. Caution': 1}","{'28. Business addresses etc.': 1, '27. Inactive communal population': 1, '18. Cultural concerns': 1}"
352,E00023787,4. Healthy,22. Gym & juices,"{'4. Healthy': 4, '5. Not Private Households': 1, '3. Caution': 1}","{'22. Gym & juices': 4, '28. Business addresses etc.': 1, '15. Borderline behaviours': 1}"
353,E00023788,4. Healthy,22. Gym & juices,{'4. Healthy': 2},{'22. Gym & juices': 2}
354,E00023789,2. At Risk,8. Despondent diversity,"{'2. At Risk': 2, '5. Not Private Households': 1, '4. Healthy': 1}","{'8. Despondent diversity': 2, '28. Business addresses etc.': 1, '22. Gym & juices': 1}"
355,E00023790,2. At Risk,8. Despondent diversity,"{'2. At Risk': 2, '4. Healthy': 2, '3. Caution': 1}","{'8. Despondent diversity': 2, '21. Sensible seniors': 2, '15. Borderline behaviours': 1}"
356,E00023791,5. Not Private Households,28. Business addresses etc.,"{'5. Not Private Households': 2, '2. At Risk': 1}","{'28. Business addresses etc.': 2, '8. Despondent diversity': 1}"
357,E00023792,3. Caution,18. Cultural concerns,"{'3. Caution': 1, '5. Not Private Households': 1}","{'18. Cultural concerns': 1, '27. Inactive communal population': 1}"
358,E00023793,3. Caution,18. Cultural concerns,"{'3. Caution': 4, '5. Not Private Households': 2, '2. At Risk': 2, '4. Healthy': 1}","{'18. Cultural concerns': 3, '8. Despondent diversity': 2, '28. Business addresses etc.': 1, '27. Inactive communal population': 1, '21. Sensible seniors': 1, '15. Borderline behaviours': 1}"
359,E00023794,2. At Risk,8. Despondent diversity,{'2. At Risk': 2},{'8. Despondent diversity': 2}
360,E00023795,4. Healthy,8. Despondent diversity,"{'4. Healthy': 2, '2. At Risk': 1}","{'8. Despondent diversity': 1, '21. Sensible seniors': 1, '22. Gym & juices': 1}"
361,E00023796,3. Caution,18. Cultural concerns,{'3. Caution': 3},{'18. Cultural concerns': 3}
362,E00023797,4. Healthy,22. Gym & juices,{'4. Healthy': 3},{'22. Gym & juices': 3}
363,E00023798,4. Healthy,22. Gym & juices,"{'4. Healthy': 3, '5. Not Private Households': 2, '3. Caution': 1}","{'22. Gym & juices': 3, '28. Business addresses etc.': 2, '15. Borderline behaviours': 1}"
364,E00023799,3. Caution,18. Cultural concerns,"{'3. Caution': 3, '4. Healthy': 1}","{'18. Cultural concerns': 3, '24. Five-a-day greys': 1}"
365,E00023800,3. Caution,18. Cultural concerns,{'3. Caution': 3},{'18. Cultural concerns': 3}
366,E00023801,4. Healthy,22. Gym & juices,"{'4. Healthy': 3, '5. Not Private Households': 1, '3. Caution': 1}","{'22. Gym & juices': 3, '28. Business addresses etc.': 1, '15. Borderline behaviours': 1}"
367,E00023802,4. Healthy,18. Cultural concerns,"{'4. Healthy': 3, '3. Caution': 3}","{'18. Cultural concerns': 3, '22. Gym & juices': 2, '24. Five-a-day greys': 1}"
368,E00023803,3. Caution,18. Cultural concerns,{'3. Caution': 4},{'18. Cultural concerns': 4}
369,E00023804,4. Healthy,21. Sensible seniors,{'4. Healthy': 4},"{'21. Sensible seniors': 2, '22. Gym & juices': 2}"
370,E00023805,4. Healthy,22. Gym & juices,"{'4. Healthy': 5, '3. Caution': 2}","{'22. Gym & juices': 5, '18. Cultural concerns': 2}"
371,E00023806,3. Caution,18. Cultural concerns,"{'3. Caution': 3, '4. Healthy': 1}","{'18. Cultural concerns': 3, '24. Five-a-day greys': 1}"
372,E00023807,3. Caution,18. Cultural concerns,{'3. Caution': 3},{'18. Cultural concerns': 3}
373,E00023808,3. Caution,18. Cultural concerns,"{'3. Caution': 3, '4. Healthy': 1}","{'18. Cultural concerns': 3, '22. Gym & juices': 1}"
374,E00023809,3. Caution,18. Cultural concerns,{'3. Caution': 4},{'18. Cultural concerns': 4}
375,E00023810,3. Caution,18. Cultural concerns,"{'3. Caution': 3, '5. Not Private Households': 1}","{'18. Cultural concerns': 3, '28. Business addresses etc.': 1}"
376,E00023811,3. Caution,18. Cultural concerns,"{'3. Caution': 13, '4. Healthy': 11, '5. Not Private Households': 8}","{'18. Cultural concerns': 13, '22. Gym & juices': 11, '28. Business addresses etc.': 8}"
377,E00023812,4. Healthy,22. Gym & juices,"{'4. Healthy': 4, '5. Not Private Households': 2, '3. Caution': 1}","{'22. Gym & juices': 4, '28. Business addresses etc.': 2, '15. Borderline behaviours': 1}"
378,E00023813,5. Not Private Households,28. Business addresses etc.,"{'5. Not Private Households': 10, '3. Caution': 5, '4. Healthy': 4, '2. At Risk': 2}","{'28. Business addresses etc.': 9, '18. Cultural concerns': 5, '22. Gym & juices': 3, '8. Despondent diversity': 2, '26. Active communal population': 1, '21. Sensible seniors': 1}"
379,E00023814,4. Healthy,21. Sensible seniors,"{'4. Healthy': 6, '5. Not Private Households': 1}","{'21. Sensible seniors': 6, '28. Business addresses etc.': 1}"
380,E00023815,4. Healthy,22. Gym & juices,"{'4. Healthy': 4, '5. Not Private Households': 2}","{'22. Gym & juices': 4, '27. Inactive communal population': 1, '28. Business addresses etc.': 1}"
381,E00023816,4. Healthy,22. Gym & juices,"{'4. Healthy': 5, '3. Caution': 2, '5. Not Private Households': 1}","{'22. Gym & juices': 5, '18. Cultural concerns': 2, '28. Business addresses etc.': 1}"
382,E00023817,5. Not Private Households,22. Gym & juices,"{'5. Not Private Households': 8, '4. Healthy': 7, '3. Caution': 7}","{'22. Gym & juices': 7, '18. Cultural concerns': 7, '28. Business addresses etc.': 6, '26. Active communal population': 1, '27. Inactive communal population': 1}"
383,E00023818,5. Not Private Households,28. Business addresses etc.,"{'5. Not Private Households': 30, '3. Caution': 7, '4. Healthy': 6}","{'28. Business addresses etc.': 30, '18. Cultural concerns': 7, '24. Five-a-day greys': 4, '22. Gym & juices': 2}"
384,E00023819,5. Not Private Households,28. Business addresses etc.,"{'5. Not Private Households': 21, '3. Caution': 13, '4. Healthy': 7}","{'28. Business addresses etc.': 20, '18. Cultural concerns': 13, '22. Gym & juices': 5, '24. Five-a-day greys': 2, '26. Active communal population': 1}"
385,E00023820,5. Not Private Households,28. Business addresses etc.,"{'5. Not Private Households': 7, '4. Healthy': 5, '3. Caution': 2}","{'28. Business addresses etc.': 7, '24. Five-a-day greys': 3, '22. Gym & juices': 2, '18. Cultural concerns': 2}"
386,E00023821,5. Not Private Households,28. Business addresses etc.,"{'5. Not Private Households': 23, '4. Healthy': 7, '3. Caution': 3}","{'28. Business addresses etc.': 22, '22. Gym & juices': 5, '18. Cultural concerns': 3, '24. Five-a-day greys': 2, '26. Active communal population': 1}"
387,E00023822,5. Not Private Households,28. Business addresses etc.,"{'5. Not Private Households': 16, '3. Caution': 8, '4. Healthy': 4}","{'28. Business addresses etc.': 16, '18. Cultural concerns': 8, '24. Five-a-day greys': 3, '22. Gym & juices': 1}"
388,E00023823,4. Healthy,24. Five-a-day greys,"{'4. Healthy': 7, '3. Caution': 6, '5. Not Private Households': 3}","{'24. Five-a-day greys': 6, '18. Cultural concerns': 6, '28. Business addresses etc.': 3, '22. Gym & juices': 1}"
389,E00023824,5. Not Private Households,28. Business addresses etc.,"{'5. Not Private Households': 35, '4. Healthy': 13, '3. Caution': 3}","{'28. Business addresses etc.': 34, '22. Gym & juices': 10, '18. Cultural concerns': 3, '21. Sensible seniors': 2, '24. Five-a-day greys': 1, '27. Inactive communal population': 1}"
390,E00023825,3. Caution,18. Cultural concerns,"{'3. Caution': 11, '5. Not Private Households': 11}","{'18. Cultural concerns': 11, '28. Business addresses etc.': 11}"
391,E00023826,3. Caution,18. Cultural concerns,"{'3. Caution': 17, '5. Not Private Households': 16, '4. Healthy': 6}","{'18. Cultural concerns': 17, '28. Business addresses etc.': 15, '22. Gym & juices': 6, '26. Active communal population': 1}"
392,E00023827,3. Caution,18. Cultural concerns,"{'3. Caution': 14, '5. Not Private Households': 8, '4. Healthy': 3}","{'18. Cultural concerns': 14, '28. Business addresses etc.': 7, '22. Gym & juices': 3, '27. Inactive communal population': 1}"
393,E00023828,5. Not Private Households,28. Business addresses etc.,"{'5. Not Private Households': 49, '4. Healthy': 10, '3. Caution': 2}","{'28. Business addresses etc.': 49, '24. Five-a-day greys': 7, '22. Gym & juices': 3, '18. Cultural concerns': 2}"
394,E00023829,3. Caution,18. Cultural concerns,"{'3. Caution': 7, '5. Not Private Households': 4, '4. Healthy': 2}","{'18. Cultural concerns': 7, '28. Business addresses etc.': 4, '24. Five-a-day greys': 1, '22. Gym & juices': 1}"
395,E00023830,4. Healthy,28. Business addresses etc.,"{'4. Healthy': 10, '5. Not Private Households': 9, '3. Caution': 4}","{'28. Business addresses etc.': 9, '24. Five-a-day greys': 7, '18. Cultural concerns': 4, '22. Gym & juices': 3}"
396,E00023831,4. Healthy,24. Five-a-day greys,"{'4. Healthy': 10, '5. Not Private Households': 5, '3. Caution': 2}","{'24. Five-a-day greys': 7, '28. Business addresses etc.': 5, '22. Gym & juices': 3, '18. Cultural concerns': 2}"
397,E00023832,5. Not Private Households,28. Business addresses etc.,"{'5. Not Private Households': 16, '4. Healthy': 9, '3. Caution': 1}","{'28. Business addresses etc.': 16, '24. Five-a-day greys': 9, '18. Cultural concerns': 1}"
398,E00023833,5. Not Private Households,28. Business addresses etc.,"{'5. Not Private Households': 14, '4. Healthy': 14}","{'28. Business addresses etc.': 14, '24. Five-a-day greys': 9, '22. Gym & juices': 5}"
399,E00023834,5. Not Private Households,28. Business addresses etc.,"{'5. Not Private Households': 27, '4. Healthy': 7, '3. Caution': 7}","{'28. Business addresses etc.': 26, '18. Cultural concerns': 7, '22. Gym & juices': 6, '27. Inactive communal population': 1, '24. Five-a-day greys': 1}"
400,E00023835,5. Not Private Households,28. Business addresses etc.,"{'5. Not Private Households': 11, '4. Healthy': 10, '3. Caution': 2}","{'28. Business addresses etc.': 11, '24. Five-a-day greys': 5, '22. Gym & juices': 5, '18. Cultural concerns': 2}"
401,E00023836,5. Not Private Households,28. Business addresses etc.,"{'5. Not Private Households': 13, '3. Caution': 9, '4. Healthy': 7}","{'28. Business addresses etc.': 13, '18. Cultural concerns': 9, '24. Five-a-day greys': 6, '22. Gym & juices': 1}"
402,E00023837,3. Caution,18. Cultural concerns,"{'3. Caution': 11, '5. Not Private Households': 10, '4. Healthy': 2}","{'18. Cultural concerns': 11, '28. Business addresses etc.': 10, '22. Gym & juices': 1, '24. Five-a-day greys': 1}"
403,E00023838,5. Not Private Households,28. Business addresses etc.,"{'5. Not Private Households': 19, '4. Healthy': 10, '3. Caution': 1}","{'28. Business addresses etc.': 19, '24. Five-a-day greys': 5, '22. Gym & juices': 4, '21. Sensible seniors': 1, '18. Cultural concerns': 1}"
404,E00023839,5. Not Private Households,28. Business addresses etc.,"{'5. Not Private Households': 81, '3. Caution': 10, '4. Healthy': 5}","{'28. Business addresses etc.': 80, '18. Cultural concerns': 10, '22. Gym & juices': 5, '27. Inactive communal population': 1}"
405,E00023840,5. Not Private Households,28. Business addresses etc.,"{'5. Not Private Households': 73, '4. Healthy': 6, '3. Caution': 4}","{'28. Business addresses etc.': 73, '18. Cultural concerns': 4, '24. Five-a-day greys': 4, '22. Gym & juices': 2}"
406,E00023841,5. Not Private Households,28. Business addresses etc.,"{'5. Not Private Households': 51, '3. Caution': 12, '4. Healthy': 4}","{'28. Business addresses etc.': 51, '18. Cultural concerns': 12, '24. Five-a-day greys': 3, '22. Gym & juices': 1}"
407,E00023842,5. Not Private Households,28. Business addresses etc.,"{'5. Not Private Households': 64, '3. Caution': 9, '4. Healthy': 8}","{'28. Business addresses etc.': 64, '18. Cultural concerns': 9, '24. Five-a-day greys': 4, '22. Gym & juices': 4}"
408,E00023843,5. Not Private Households,28. Business addresses etc.,"{'5. Not Private Households': 32, '3. Caution': 7, '4. Healthy': 3}","{'28. Business addresses etc.': 32, '18. Cultural concerns': 7, '24. Five-a-day greys': 2, '22. Gym & juices': 1}"
409,E00023844,5. Not Private Households,28. Business addresses etc.,"{'5. Not Private Households': 43, '4. Healthy': 7, '3. Caution': 6}","{'28. Business addresses etc.': 43, '18. Cultural concerns': 6, '24. Five-a-day greys': 5, '22. Gym & juices': 2}"
410,E00023845,5. Not Private Households,28. Business addresses etc.,"{'5. Not Private Households': 111, '4. Healthy': 13, '3. Caution': 5, '2. At Risk': 1}","{'28. Business addresses etc.': 110, '22. Gym & juices': 7, '24. Five-a-day greys': 6, '18. Cultural concerns': 5, '8. Despondent diversity': 1, '26. Active communal population': 1}"
411,E00023846,4. Healthy,22. Gym & juices,"{'4. Healthy': 13, '2. At Risk': 2, '5. Not Private Households': 1}","{'22. Gym & juices': 7, '21. Sensible seniors': 6, '8. Despondent diversity': 2, '28. Business addresses etc.': 1}"
412,E00023847,4. Healthy,22. Gym & juices,{'4. Healthy': 4},{'22. Gym & juices': 4}
413,E00023848,5. Not Private Households,28. Business addresses etc.,"{'5. Not Private Households': 10, '4. Healthy': 8, '3. Caution': 3}","{'28. Business addresses etc.': 10, '24. Five-a-day greys': 7, '18. Cultural concerns': 3, '22. Gym & juices': 1}"
414,E00023849,4. Healthy,22. Gym & juices,{'4. Healthy': 7},"{'22. Gym & juices': 6, '21. Sensible seniors': 1}"
415,E00023851,4. Healthy,21. Sensible seniors,"{'4. Healthy': 3, '2. At Risk': 1, '5. Not Private Households': 1}","{'21. Sensible seniors': 2, '22. Gym & juices': 1, '8. Despondent diversity': 1, '26. Active communal population': 1}"
416,E00023852,3. Caution,15. Borderline behaviours,{'3. Caution': 4},{'15. Borderline behaviours': 4}
417,E00023853,4. Healthy,22. Gym & juices,{'4. Healthy': 4},"{'22. Gym & juices': 3, '21. Sensible seniors': 1}"
418,E00023854,3. Caution,15. Borderline behaviours,{'3. Caution': 7},{'15. Borderline behaviours': 7}
419,E00023855,3. Caution,15. Borderline behaviours,"{'3. Caution': 4, '4. Healthy': 1}","{'15. Borderline behaviours': 4, '22. Gym & juices': 1}"
420,E00023856,4. Healthy,22. Gym & juices,{'4. Healthy': 5},"{'22. Gym & juices': 3, '21. Sensible seniors': 2}"
421,E00023857,4. Healthy,21. Sensible seniors,"{'4. Healthy': 2, '3. Caution': 1}","{'21. Sensible seniors': 1, '22. Gym & juices': 1, '15. Borderline behaviours': 1}"
422,E00023858,4. Healthy,21. Sensible seniors,"{'4. Healthy': 3, '5. Not Private Households': 1}","{'21. Sensible seniors': 3, '28. Business addresses etc.': 1}"
423,E00023859,4. Healthy,22. Gym & juices,{'4. Healthy': 2},{'22. Gym & juices': 2}
424,E00023860,3. Caution,15. Borderline behaviours,"{'3. Caution': 3, '4. Healthy': 2, '1. Health Challenges': 1}","{'15. Borderline behaviours': 3, '1. Limited living': 1, '22. Gym & juices': 1, '21. Sensible seniors': 1}"
425,E00023861,3. Caution,15. Borderline behaviours,"{'3. Caution': 6, '5. Not Private Households': 1, '4. Healthy': 1}","{'15. Borderline behaviours': 6, '28. Business addresses etc.': 1, '21. Sensible seniors': 1}"
426,E00023862,4. Healthy,22. Gym & juices,{'4. Healthy': 3},{'22. Gym & juices': 3}
427,E00023863,4. Healthy,21. Sensible seniors,"{'4. Healthy': 3, '3. Caution': 2, '2. At Risk': 1}","{'21. Sensible seniors': 2, '15. Borderline behaviours': 2, '8. Despondent diversity': 1, '22. Gym & juices': 1}"
428,E00023864,3. Caution,15. Borderline behaviours,{'3. Caution': 6},{'15. Borderline behaviours': 6}
429,E00023865,4. Healthy,22. Gym & juices,"{'4. Healthy': 4, '3. Caution': 1}","{'22. Gym & juices': 4, '15. Borderline behaviours': 1}"
430,E00023866,2. At Risk,8. Despondent diversity,"{'2. At Risk': 6, '5. Not Private Households': 1}","{'8. Despondent diversity': 6, '28. Business addresses etc.': 1}"
431,E00023867,2. At Risk,8. Despondent diversity,{'2. At Risk': 4},{'8. Despondent diversity': 4}
432,E00023869,4. Healthy,22. Gym & juices,{'4. Healthy': 3},{'22. Gym & juices': 3}
433,E00023870,4. Healthy,22. Gym & juices,{'4. Healthy': 3},{'22. Gym & juices': 3}
434,E00023871,4. Healthy,22. Gym & juices,{'4. Healthy': 3},{'22. Gym & juices': 3}
435,E00023872,2. At Risk,8. Despondent diversity,"{'2. At Risk': 10, '4. Healthy': 1, '5. Not Private Households': 1}","{'8. Despondent diversity': 10, '22. Gym & juices': 1, '26. Active communal population': 1}"
436,E00023873,4. Healthy,21. Sensible seniors,"{'4. Healthy': 4, '5. Not Private Households': 1, '2. At Risk': 1, '3. Caution': 1}","{'21. Sensible seniors': 3, '28. Business addresses etc.': 1, '8. Despondent diversity': 1, '22. Gym & juices': 1, '15. Borderline behaviours': 1}"
437,E00023874,3. Caution,15. Borderline behaviours,"{'3. Caution': 5, '2. At Risk': 1}","{'15. Borderline behaviours': 5, '8. Despondent diversity': 1}"
438,E00023875,3. Caution,15. Borderline behaviours,"{'3. Caution': 5, '2. At Risk': 1}","{'15. Borderline behaviours': 5, '13. Regular revellers': 1}"
439,E00023876,3. Caution,15. Borderline behaviours,{'3. Caution': 8},{'15. Borderline behaviours': 8}
440,E00023877,2. At Risk,8. Despondent diversity,"{'2. At Risk': 4, '4. Healthy': 3, '5. Not Private Households': 1}","{'8. Despondent diversity': 4, '22. Gym & juices': 3, '28. Business addresses etc.': 1}"
441,E00023878,2. At Risk,8. Despondent diversity,{'2. At Risk': 11},{'8. Despondent diversity': 11}
442,E00023879,4. Healthy,15. Borderline behaviours,"{'4. Healthy': 3, '3. Caution': 3, '2. At Risk': 1, '5. Not Private Households': 1}","{'15. Borderline behaviours': 3, '21. Sensible seniors': 2, '8. Despondent diversity': 1, '28. Business addresses etc.': 1, '22. Gym & juices': 1}"
443,E00023880,4. Healthy,24. Five-a-day greys,{'4. Healthy': 5},"{'24. Five-a-day greys': 3, '22. Gym & juices': 2}"
444,E00023881,4. Healthy,22. Gym & juices,"{'4. Healthy': 5, '5. Not Private Households': 2, '3. Caution': 2}","{'22. Gym & juices': 4, '28. Business addresses etc.': 2, '18. Cultural concerns': 2, '24. Five-a-day greys': 1}"
445,E00023882,4. Healthy,22. Gym & juices,"{'4. Healthy': 2, '3. Caution': 2, '5. Not Private Households': 1}","{'22. Gym & juices': 2, '18. Cultural concerns': 2, '28. Business addresses etc.': 1}"
446,E00023883,2. At Risk,8. Despondent diversity,"{'2. At Risk': 3, '3. Caution': 2, '4. Healthy': 1}","{'8. Despondent diversity': 3, '18. Cultural concerns': 2, '22. Gym & juices': 1}"
447,E00023884,5. Not Private Households,28. Business addresses etc.,"{'5. Not Private Households': 3, '3. Caution': 3, '4. Healthy': 1}","{'28. Business addresses etc.': 3, '18. Cultural concerns': 3, '22. Gym & juices': 1}"
448,E00023885,4. Healthy,18. Cultural concerns,"{'4. Healthy': 5, '3. Caution': 3}","{'18. Cultural concerns': 3, '24. Five-a-day greys': 3, '22. Gym & juices': 2}"
449,E00023886,4. Healthy,21. Sensible seniors,"{'4. Healthy': 3, '5. Not Private Households': 1, '3. Caution': 1, '2. At Risk': 1}","{'21. Sensible seniors': 2, '28. Business addresses etc.': 1, '18. Cultural concerns': 1, '22. Gym & juices': 1, '8. Despondent diversity': 1}"
450,E00023887,4. Healthy,22. Gym & juices,"{'4. Healthy': 6, '5. Not Private Households': 2, '3. Caution': 1}","{'22. Gym & juices': 6, '28. Business addresses etc.': 2, '18. Cultural concerns': 1}"
